lexemeCurrentNode	lineno	token			valueIfNumber		parentNodeSymbol	isLeafNode(yes/no)	NodeSymbol
----                	--	----                	----      	ROOT                          	No 		<program>                     	
----                	--	----                	----      	<program>                     	No 		<otherFunctions>              	
----                	--	----                	----      	<otherFunctions>              	No 		<function>                    	
_readMarks          	2	TK_FUNID            	----      	<function>                    	Yes		----                          	
----                	--	----                	----      	<function>                    	No 		<input_par>                   	
input               	2	TK_INPUT            	----      	<input_par>                   	Yes		----                          	
parameter           	2	TK_PARAMETER        	----      	<input_par>                   	Yes		----                          	
list                	2	TK_LIST             	----      	<input_par>                   	Yes		----                          	
[                   	2	TK_SQL              	----      	<input_par>                   	Yes		----                          	
----                	--	----                	----      	<input_par>                   	No 		<parameter_list>              	
----                	--	----                	----      	<parameter_list>              	No 		<dataType>                    	
----                	--	----                	----      	<dataType>                    	No 		<primitiveDatatype>           	
int                 	2	TK_INT              	----      	<primitiveDatatype>           	Yes		----                          	
b7                  	2	TK_ID               	----      	<parameter_list>              	Yes		----                          	
----                	--	----                	----      	<parameter_list>              	No 		<remaining_list>              	
                    	0	EPSILON             	----      	<remaining_list>              	Yes		----                          	
]                   	2	TK_SQR              	----      	<input_par>                   	Yes		----                          	
----                	--	----                	----      	<function>                    	No 		<output_par>                  	
output              	3	TK_OUTPUT           	----      	<output_par>                  	Yes		----                          	
parameter           	3	TK_PARAMETER        	----      	<output_par>                  	Yes		----                          	
list                	3	TK_LIST             	----      	<output_par>                  	Yes		----                          	
[                   	3	TK_SQL              	----      	<output_par>                  	Yes		----                          	
----                	--	----                	----      	<output_par>                  	No 		<parameter_list>              	
----                	--	----                	----      	<parameter_list>              	No 		<dataType>                    	
----                	--	----                	----      	<dataType>                    	No 		<constructedDatatype>         	
record              	3	TK_RECORD           	----      	<constructedDatatype>         	Yes		----                          	
#marks              	3	TK_RECORDID         	----      	<constructedDatatype>         	Yes		----                          	
b3c45               	3	TK_ID               	----      	<parameter_list>              	Yes		----                          	
----                	--	----                	----      	<parameter_list>              	No 		<remaining_list>              	
                    	0	EPSILON             	----      	<remaining_list>              	Yes		----                          	
]                   	3	TK_SQR              	----      	<output_par>                  	Yes		----                          	
;                   	3	TK_SEM              	----      	<function>                    	Yes		----                          	
----                	--	----                	----      	<function>                    	No 		<stmts>                       	
----                	--	----                	----      	<stmts>                       	No 		<typeDefinitions>             	
                    	0	EPSILON             	----      	<typeDefinitions>             	Yes		----                          	
----                	--	----                	----      	<stmts>                       	No 		<declarations>                	
                    	0	EPSILON             	----      	<declarations>                	Yes		----                          	
----                	--	----                	----      	<stmts>                       	No 		<otherStmts>                  	
----                	--	----                	----      	<otherStmts>                  	No 		<stmt>                        	
----                	--	----                	----      	<stmt>                        	No 		<ioStmt>                      	
read                	4	TK_READ             	----      	<ioStmt>                      	Yes		----                          	
(                   	4	TK_OP               	----      	<ioStmt>                      	Yes		----                          	
----                	--	----                	----      	<ioStmt>                      	No 		<SingleOrRecId>               	
b3c45               	4	TK_ID               	----      	<SingleOrRecId>               	Yes		----                          	
----                	--	----                	----      	<SingleOrRecId>               	No 		<singleOrRecIdPrime>          	
.                   	4	TK_DOT              	----      	<singleOrRecIdPrime>          	Yes		----                          	
maths               	4	TK_FIELDID          	----      	<singleOrRecIdPrime>          	Yes		----                          	
)                   	4	TK_CL               	----      	<ioStmt>                      	Yes		----                          	
;                   	4	TK_SEM              	----      	<ioStmt>                      	Yes		----                          	
----                	--	----                	----      	<otherStmts>                  	No 		<otherStmts>                  	
----                	--	----                	----      	<otherStmts>                  	No 		<stmt>                        	
----                	--	----                	----      	<stmt>                        	No 		<ioStmt>                      	
read                	5	TK_READ             	----      	<ioStmt>                      	Yes		----                          	
(                   	5	TK_OP               	----      	<ioStmt>                      	Yes		----                          	
----                	--	----                	----      	<ioStmt>                      	No 		<SingleOrRecId>               	
b3c45               	5	TK_ID               	----      	<SingleOrRecId>               	Yes		----                          	
----                	--	----                	----      	<SingleOrRecId>               	No 		<singleOrRecIdPrime>          	
.                   	5	TK_DOT              	----      	<singleOrRecIdPrime>          	Yes		----                          	
physics             	5	TK_FIELDID          	----      	<singleOrRecIdPrime>          	Yes		----                          	
)                   	5	TK_CL               	----      	<ioStmt>                      	Yes		----                          	
;                   	5	TK_SEM              	----      	<ioStmt>                      	Yes		----                          	
----                	--	----                	----      	<otherStmts>                  	No 		<otherStmts>                  	
----                	--	----                	----      	<otherStmts>                  	No 		<stmt>                        	
----                	--	----                	----      	<stmt>                        	No 		<ioStmt>                      	
read                	6	TK_READ             	----      	<ioStmt>                      	Yes		----                          	
(                   	6	TK_OP               	----      	<ioStmt>                      	Yes		----                          	
----                	--	----                	----      	<ioStmt>                      	No 		<SingleOrRecId>               	
b3c45               	6	TK_ID               	----      	<SingleOrRecId>               	Yes		----                          	
----                	--	----                	----      	<SingleOrRecId>               	No 		<singleOrRecIdPrime>          	
.                   	6	TK_DOT              	----      	<singleOrRecIdPrime>          	Yes		----                          	
chemistry           	6	TK_FIELDID          	----      	<singleOrRecIdPrime>          	Yes		----                          	
)                   	6	TK_CL               	----      	<ioStmt>                      	Yes		----                          	
;                   	6	TK_SEM              	----      	<ioStmt>                      	Yes		----                          	
----                	--	----                	----      	<otherStmts>                  	No 		<otherStmts>                  	
                    	0	EPSILON             	----      	<otherStmts>                  	Yes		----                          	
----                	--	----                	----      	<stmts>                       	No 		<returnStmt>                  	
return              	7	TK_RETURN           	----      	<returnStmt>                  	Yes		----                          	
----                	--	----                	----      	<returnStmt>                  	No 		<optionalReturn>              	
[                   	7	TK_SQL              	----      	<optionalReturn>              	Yes		----                          	
----                	--	----                	----      	<optionalReturn>              	No 		<idList>                      	
b3c45               	7	TK_ID               	----      	<idList>                      	Yes		----                          	
----                	--	----                	----      	<idList>                      	No 		<more_ids>                    	
                    	0	EPSILON             	----      	<more_ids>                    	Yes		----                          	
]                   	7	TK_SQR              	----      	<optionalReturn>              	Yes		----                          	
;                   	7	TK_SEM              	----      	<returnStmt>                  	Yes		----                          	
end                 	8	TK_END              	----      	<function>                    	Yes		----                          	
----                	--	----                	----      	<otherFunctions>              	No 		<otherFunctions>              	
                    	0	EPSILON             	----      	<otherFunctions>              	Yes		----                          	
----                	--	----                	----      	<program>                     	No 		<mainFunction>                	
_main               	13	TK_MAIN             	----      	<mainFunction>                	Yes		----                          	
----                	--	----                	----      	<mainFunction>                	No 		<stmts>                       	
----                	--	----                	----      	<stmts>                       	No 		<typeDefinitions>             	
----                	--	----                	----      	<typeDefinitions>             	No 		<typeDefinition>              	
record              	14	TK_RECORD           	----      	<typeDefinition>              	Yes		----                          	
#marks              	14	TK_RECORDID         	----      	<typeDefinition>              	Yes		----                          	
----                	--	----                	----      	<typeDefinition>              	No 		<fieldDefinitions>            	
----                	--	----                	----      	<fieldDefinitions>            	No 		<fieldDefinition>             	
type                	15	TK_TYPE             	----      	<fieldDefinition>             	Yes		----                          	
----                	--	----                	----      	<fieldDefinition>             	No 		<primitiveDatatype>           	
